eventID,parentEventID,samplingProtocol,year,month,day,eventDate,habitat,eventRemarks,locationID,country,countryCode,stateProvince,county,locality,decimalLongitude,decimalLatitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol
LiloanMPA:S01:2015-03:physicochemical,LiloanMPA:S01:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S01,Philippines,PH,Cebu,Liloan,Poblacion,124.005042,10.402056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S02:2015-03:physicochemical,LiloanMPA:S02:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S02,Philippines,PH,Cebu,Liloan,Poblacion,124.008306,10.402750,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S03:2015-03:physicochemical,LiloanMPA:S03:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S03,Philippines,PH,Cebu,Liloan,Poblacion,124.005500,10.406444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S04:2015-03:physicochemical,LiloanMPA:S04:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S04,Philippines,PH,Cebu,Liloan,Poblacion,124.004774,10.401890,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S05:2015-03:physicochemical,LiloanMPA:S05:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S05,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.008201,10.397637,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S06:2015-03:physicochemical,LiloanMPA:S06:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S06,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.006449,10.397137,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S07:2015-03:physicochemical,LiloanMPA:S07:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S07,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.392639,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S08:2015-03:physicochemical,LiloanMPA:S08:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S08,Philippines,PH,Cebu,Liloan,Kadurong,124.010417,10.394917,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S09:2015-03:physicochemical,LiloanMPA:S09:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S09,Philippines,PH,Cebu,Liloan,Kadurong,124.009194,10.395444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S10:2015-03:physicochemical,LiloanMPA:S10:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S10,Philippines,PH,Cebu,Liloan,Kadurong,124.007792,10.395457,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S11:2016-03:physicochemical,LiloanMPA:S11:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S11,Philippines,PH,Cebu,Liloan,Poblacion,124.005466,10.400443,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S12:2016-03:physicochemical,LiloanMPA:S12:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S12,Philippines,PH,Cebu,Liloan,Poblacion,124.006214,10.403847,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S13:2016-03:physicochemical,LiloanMPA:S13:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S13,Philippines,PH,Cebu,Liloan,Poblacion,124.007222,10.400833,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S14:2016-03:physicochemical,LiloanMPA:S14:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S14,Philippines,PH,Cebu,Liloan,Poblacion,124.008333,10.401667,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S15:2016-03:physicochemical,LiloanMPA:S15:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S15,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.005833,10.398056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S16:2016-03:physicochemical,LiloanMPA:S16:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S16,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.005278,10.396944,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S17:2016-03:physicochemical,LiloanMPA:S17:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S17,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.391944,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S18:2016-03:physicochemical,LiloanMPA:S18:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S18,Philippines,PH,Cebu,Liloan,Kadurong,124.012240,10.392952,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S19:2016-03:physicochemical,LiloanMPA:S19:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S19,Philippines,PH,Cebu,Liloan,Kadurong,124.010278,10.394167,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S20:2016-03:physicochemical,LiloanMPA:S20:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S20,Philippines,PH,Cebu,Liloan,Kadurong,124.010278,10.395278,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S01:2015-03:phytoplankton,LiloanMPA:S01:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S01,Philippines,PH,Cebu,Liloan,Poblacion,124.005042,10.402056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S02:2015-03:phytoplankton,LiloanMPA:S02:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S02,Philippines,PH,Cebu,Liloan,Poblacion,124.008306,10.402750,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S03:2015-03:phytoplankton,LiloanMPA:S03:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S03,Philippines,PH,Cebu,Liloan,Poblacion,124.005500,10.406444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S04:2015-03:phytoplankton,LiloanMPA:S04:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S04,Philippines,PH,Cebu,Liloan,Poblacion,124.004774,10.401890,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S05:2015-03:phytoplankton,LiloanMPA:S05:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S05,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.008201,10.397637,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S06:2015-03:phytoplankton,LiloanMPA:S06:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S06,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.006449,10.397137,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S07:2015-03:phytoplankton,LiloanMPA:S07:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S07,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.392639,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S08:2015-03:phytoplankton,LiloanMPA:S08:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S08,Philippines,PH,Cebu,Liloan,Kadurong,124.010417,10.394917,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S09:2015-03:phytoplankton,LiloanMPA:S09:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S09,Philippines,PH,Cebu,Liloan,Kadurong,124.009194,10.395444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S10:2015-03:phytoplankton,LiloanMPA:S10:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S10,Philippines,PH,Cebu,Liloan,Kadurong,124.007792,10.395457,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S11:2016-03:phytoplankton,LiloanMPA:S11:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S11,Philippines,PH,Cebu,Liloan,Poblacion,124.005466,10.400443,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S12:2016-03:phytoplankton,LiloanMPA:S12:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S12,Philippines,PH,Cebu,Liloan,Poblacion,124.006214,10.403847,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S13:2016-03:phytoplankton,LiloanMPA:S13:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S13,Philippines,PH,Cebu,Liloan,Poblacion,124.007222,10.400833,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S14:2016-03:phytoplankton,LiloanMPA:S14:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S14,Philippines,PH,Cebu,Liloan,Poblacion,124.008333,10.401667,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S15:2016-03:phytoplankton,LiloanMPA:S15:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S15,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.005833,10.398056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S16:2016-03:phytoplankton,LiloanMPA:S16:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S16,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.005278,10.396944,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S17:2016-03:phytoplankton,LiloanMPA:S17:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S17,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.391944,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S18:2016-03:phytoplankton,LiloanMPA:S18:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S18,Philippines,PH,Cebu,Liloan,Kadurong,124.012240,10.392952,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S19:2016-03:phytoplankton,LiloanMPA:S19:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S19,Philippines,PH,Cebu,Liloan,Kadurong,124.010278,10.394167,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S20:2016-03:phytoplankton,LiloanMPA:S20:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S20,Philippines,PH,Cebu,Liloan,Kadurong,124.010278,10.395278,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S01:2015-03:zooplankton,LiloanMPA:S01:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S01,Philippines,PH,Cebu,Liloan,Poblacion,124.005042,10.402056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S02:2015-03:zooplankton,LiloanMPA:S02:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S02,Philippines,PH,Cebu,Liloan,Poblacion,124.008306,10.402750,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S03:2015-03:zooplankton,LiloanMPA:S03:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S03,Philippines,PH,Cebu,Liloan,Poblacion,124.005500,10.406444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S07:2015-03:zooplankton,LiloanMPA:S07:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S07,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.392639,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S08:2015-03:zooplankton,LiloanMPA:S08:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S08,Philippines,PH,Cebu,Liloan,Kadurong,124.010417,10.394917,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S09:2015-03:zooplankton,LiloanMPA:S09:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S09,Philippines,PH,Cebu,Liloan,Kadurong,124.009194,10.395444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:T01:2016-03:benthic,LiloanMPA:T01:2016-03,Point Intercept Transect (PIT) method,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T01,Philippines,PH,Cebu,Liloan,Poblacion,124.005222,10.405252,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T02:2016-03:benthic,LiloanMPA:T02:2016-03,Point Intercept Transect (PIT) method,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T02,Philippines,PH,Cebu,Liloan,Poblacion,124.005298,10.401291,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T03:2016-03:benthic,LiloanMPA:T03:2016-03,Point Intercept Transect (PIT) method,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T03,Philippines,PH,Cebu,Liloan,Poblacion,124.008008,10.399945,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T04:2016-03:benthic,LiloanMPA:T04:2016-03,Point Intercept Transect (PIT) method,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T04,Philippines,PH,Cebu,Liloan,Kadurong,124.010041,10.396295,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T05:2016-03:benthic,LiloanMPA:T05:2016-03,Point Intercept Transect (PIT) method,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T05,Philippines,PH,Cebu,Liloan,Kadurong,124.010462,10.393389,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T06:2016-07:benthic,LiloanMPA:T06:2016-07,Point Intercept Transect (PIT) method,2016,7,,2016-07,Shallow coral reef,sampled during SW monsoon,T06,Philippines,PH,Cebu,Liloan,Kadurong,124.011661,10.395163,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T07:2016-07:benthic,LiloanMPA:T07:2016-07,Point Intercept Transect (PIT) method,2016,7,,2016-07,Shallow coral reef,sampled during SW monsoon,T07,Philippines,PH,Cebu,Liloan,Kadurong,124.011764,10.391780,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T08:2016-07:benthic,LiloanMPA:T08:2016-07,Point Intercept Transect (PIT) method,2016,7,,2016-07,Shallow coral reef,sampled during SW monsoon,T08,Philippines,PH,Cebu,Liloan,Poblacion,124.005060,10.403871,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T09:2016-07:benthic,LiloanMPA:T09:2016-07,Point Intercept Transect (PIT) method,2016,7,,2016-07,Shallow coral reef,sampled during SW monsoon,T09,Philippines,PH,Cebu,Liloan,Poblacion,124.006727,10.402665,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T10:2016-07:benthic,LiloanMPA:T10:2016-07,Point Intercept Transect (PIT) method,2016,7,,2016-07,Shallow coral reef,sampled during SW monsoon,T10,Philippines,PH,Cebu,Liloan,Poblacion,124.006445,10.399892,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T01:2016-03:fish,LiloanMPA:T01:2016-03,Underwater Visual Census (UVC),2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T01,Philippines,PH,Cebu,Liloan,Poblacion,124.005222,10.405252,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T02:2016-03:fish,LiloanMPA:T02:2016-03,Underwater Visual Census (UVC),2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T02,Philippines,PH,Cebu,Liloan,Poblacion,124.005298,10.401291,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T03:2016-03:fish,LiloanMPA:T03:2016-03,Underwater Visual Census (UVC),2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T03,Philippines,PH,Cebu,Liloan,Poblacion,124.008008,10.399945,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T04:2016-03:fish,LiloanMPA:T04:2016-03,Underwater Visual Census (UVC),2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T04,Philippines,PH,Cebu,Liloan,Kadurong,124.010041,10.396295,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T05:2016-03:fish,LiloanMPA:T05:2016-03,Underwater Visual Census (UVC),2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,T05,Philippines,PH,Cebu,Liloan,Kadurong,124.010462,10.393389,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T06:2016-07:fish,LiloanMPA:T06:2016-07,Underwater Visual Census (UVC),2016,7,,2016-07,Shallow coral reef,sampled during SW monsoon,T06,Philippines,PH,Cebu,Liloan,Kadurong,124.011661,10.395163,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T07:2016-07:fish,LiloanMPA:T07:2016-07,Underwater Visual Census (UVC),2016,7,,2016-07,Shallow coral reef,sampled during SW monsoon,T07,Philippines,PH,Cebu,Liloan,Kadurong,124.011764,10.391780,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS
LiloanMPA:T08:2016-07:fish,LiloanMPA:T08:2016-07,Underwater Visual Census (UVC),2016,7,,2016-07,Shallow coral reef,sampled during SW monsoon,T08,Philippines,PH,Cebu,Liloan,Poblacion,124.005060,10.403871,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit,Hand-held GPS